id,name,location,type,description
1,Gateway of India,Mumbai,Historical Monument,An iconic arch monument built during the 20th century in Mumbai.
2,Elephanta Caves,Mumbai,Heritage Site,"Rock-cut cave temples dedicated to Hindu god Shiva, a UNESCO World Heritage Site."
3,Marine Drive,Mumbai,Promenade,"A 3.6 km long boulevard along the coast, famous for its scenic view."
4,Ajanta Caves,Aurangabad,Heritage Site,Buddhist rock-cut caves dating back to the 2nd century BCE.
5,Ellora Caves,Aurangabad,Heritage Site,"Rock-cut caves representing Buddhist, Hindu and Jain religions."
6,Shani Shingnapur,Ahmednagar,Religious,Famous for the Shani temple and houses without doors.
7,Mahabaleshwar,Satara,Hill Station,A scenic hill station known for its viewpoints and strawberries.
8,Panchgani,Satara,Hill Station,A charming hill station with five plateaus and colonial-era buildings.
9,Lonavala,Pune,Hill Station,Popular hill station known for waterfalls and forts.
10,Khandala,Pune,Hill Station,Twin hill station of Lonavala with lush valleys and waterfalls.
11,Gateway of India 11,Mumbai,Historical Monument,An iconic arch monument built during the 20th century in Mumbai. (Tourist Spot #11)
12,Elephanta Caves 12,Mumbai,Heritage Site,"Rock-cut cave temples dedicated to Hindu god Shiva, a UNESCO World Heritage Site. (Tourist Spot #12)"
13,Marine Drive 13,Mumbai,Promenade,"A 3.6 km long boulevard along the coast, famous for its scenic view. (Tourist Spot #13)"
14,Ajanta Caves 14,Aurangabad,Heritage Site,Buddhist rock-cut caves dating back to the 2nd century BCE. (Tourist Spot #14)
15,Ellora Caves 15,Aurangabad,Heritage Site,"Rock-cut caves representing Buddhist, Hindu and Jain religions. (Tourist Spot #15)"
16,Shani Shingnapur 16,Ahmednagar,Religious,Famous for the Shani temple and houses without doors. (Tourist Spot #16)
17,Mahabaleshwar 17,Satara,Hill Station,A scenic hill station known for its viewpoints and strawberries. (Tourist Spot #17)
18,Panchgani,Satara,Hill Station,A charming hill station with five plateaus and colonial-era buildings. (Tourist Spot #18)
19,Lonavala,Pune,Hill Station,Popular hill station known for waterfalls and forts. (Tourist Spot #19)
20,Khandala 20,Pune,Hill Station,Twin hill station of Lonavala with lush valleys and waterfalls. (Tourist Spot #20)
21,Gateway of India 21,Mumbai,Historical Monument,An iconic arch monument built during the 20th century in Mumbai. (Tourist Spot #21)
22,Elephanta Caves 22,Mumbai,Heritage Site,"Rock-cut cave temples dedicated to Hindu god Shiva, a UNESCO World Heritage Site. (Tourist Spot #22)"
23,Marine Drive 23,Mumbai,Promenade,"A 3.6 km long boulevard along the coast, famous for its scenic view. (Tourist Spot #23)"
